nurses_no,hits,time,cache_enabled
19,1,1625,True
19,1,11500,True
19,1,3458,True
19,1,1709,True
19,1,2459,True
19,0,778636458,True
19,1,2416,True
19,1,3041,True
19,0,768754291,True
19,1,10458,True
19,1,3833,True
19,1,2416,True
19,1,1250,True
19,1,2542,True
19,1,2125,True
19,0,766432917,True
19,0,830354750,True
19,1,2959,True
19,1,1125,True
19,1,1167,True
19,1,4042,True
19,1,2458,True
19,1,2250,True
19,1,1250,True
19,1,1292,True
19,1,959,True
19,1,2875,True
19,1,3458,True
19,1,1000,True
19,1,4167,True
19,1,2833,True
19,1,3000,True
19,1,4000,True
19,1,3000,True
19,1,1166,True
19,1,917,True
19,1,750,True
19,1,875,True
19,1,834,True
19,1,750,True
19,1,1167,True
19,1,917,True
19,1,792,True
19,1,3333,True
19,1,1875,True
19,1,1416,True
19,1,3125,True
19,1,1458,True
19,1,3250,True
19,1,2833,True
19,1,2458,True
19,1,1125,True
19,1,1750,True
19,1,2583,True
19,1,1041,True
19,1,1042,True
19,1,1000,True
19,1,1625,True
19,1,1166,True
19,1,2125,True
19,1,1750,True
19,1,1042,True
19,1,4125,True
19,1,3208,True
19,1,1833,True
19,1,2041,True
19,1,2000,True
19,1,1542,True
19,1,1125,True
19,1,1208,True
19,1,1084,True
19,1,1041,True
19,1,1333,True
19,1,2833,True
19,1,3084,True
19,1,1958,True
19,1,1084,True
19,1,1000,True
19,1,875,True
19,1,875,True
19,1,3000,True
19,1,1541,True
19,1,1833,True
19,1,1125,True
19,1,1167,True
19,1,1958,True
19,1,1541,True
19,1,1125,True
19,1,1791,True
19,1,2667,True
19,1,1209,True
19,1,1833,True
19,1,1333,True
19,1,2416,True
19,1,1125,True
19,1,750,True
19,1,2250,True
19,1,1500,True
19,1,1167,True
19,1,1084,True
19,1,1500,True
19,1,1833,True
19,1,2667,True
19,1,2167,True
19,1,1167,True
19,1,1041,True
19,1,875,True
19,1,2000,True
19,1,1375,True
19,1,958,True
19,1,916,True
19,1,792,True
19,1,1500,True
19,1,1250,True
19,1,2375,True
19,1,1083,True
19,1,791,True
19,1,750,True
19,1,1000,True
19,1,1000,True
19,1,1125,True
19,1,1250,True
19,1,1000,True
19,1,1083,True
19,1,1000,True
19,1,1625,True
19,1,1417,True
19,1,917,True
19,1,834,True
19,1,1292,True
19,1,1333,True
19,1,1208,True
19,0,767187458,True
19,1,2166,True
19,0,857821875,True
19,1,2750,True
19,1,2709,True
19,1,3541,True
19,1,1625,True
19,1,1125,True
19,1,3250,True
19,1,1875,True
19,1,1667,True
19,1,1000,True
19,1,3875,True
19,1,1291,True
19,1,2542,True
19,1,3375,True
19,1,2000,True
19,1,1875,True
19,1,1375,True
19,1,1500,True
19,1,1334,True
19,1,1833,True
19,1,3334,True
19,1,1125,True
19,1,916,True
19,1,1417,True
19,1,1041,True
19,1,1916,True
19,1,1958,True
19,1,2333,True
19,1,1917,True
19,1,1875,True
19,1,1000,True
19,1,750,True
19,1,750,True
19,1,2375,True
19,1,2875,True
19,1,2875,True
19,1,1833,True
19,1,3000,True
19,1,2292,True
19,1,2667,True
19,0,783849417,True
19,0,766128584,True
19,0,780402125,True
19,1,2916,True
19,1,3625,True
19,1,1291,True
19,1,4875,True
19,1,1208,True
19,1,2708,True
19,1,4000,True
19,1,2166,True
19,1,4333,True
19,1,1250,True
19,1,2959,True
19,1,1084,True
19,1,2917,True
19,1,1834,True
19,1,2083,True
19,1,1625,True
19,1,1208,True
19,1,3833,True
19,1,2042,True
19,1,2625,True
19,1,1958,True
19,1,2000,True
19,1,1417,True
19,1,2000,True
19,1,1000,True
19,1,1458,True
19,1,1084,True
19,1,3209,True
19,1,4041,True
19,1,2667,True
19,1,2917,True
19,1,1875,True
19,1,1084,True
19,1,1208,True
19,1,1792,True
19,1,833,True
19,1,833,True
19,1,1125,True
19,1,2791,True
19,1,2000,True
19,1,1708,True
19,1,1375,True
19,1,2958,True
19,1,959,True
19,1,2250,True
19,1,1750,True
19,1,1208,True
19,1,959,True
19,1,1000,True
19,1,916,True
19,1,1875,True
19,1,1625,True
19,1,1084,True
19,1,1041,True
19,1,958,True
19,1,875,True
19,1,792,True
19,1,875,True
19,1,709,True
19,1,1375,True
19,1,2000,True
19,1,1375,True
19,1,1709,True
19,1,1125,True
19,1,1417,True
19,1,917,True
19,1,917,True
19,1,875,True
19,1,1542,True
19,1,1125,True
19,1,5708,True
19,1,1125,True
19,1,1125,True
19,1,875,True
19,1,1208,True
19,1,1125,True
19,1,1084,True
19,1,2875,True
19,1,1833,True
19,1,1375,True
19,1,1209,True
19,1,1833,True
19,1,1291,True
19,1,1042,True
19,1,2417,True
19,1,1125,True
19,1,1667,True
19,1,917,True
19,1,875,True
19,1,708,True
19,1,1250,True
19,1,959,True
19,1,1041,True
19,1,875,True
19,1,917,True
19,1,875,True
19,1,1000,True
19,0,766283084,True
19,1,4084,True
19,1,2917,True
19,1,3042,True
19,1,2875,True
19,1,2000,True
19,1,3584,True
19,1,2667,True
19,1,1166,True
19,1,2917,True
19,1,1041,True
19,1,4083,True
19,1,1083,True
19,0,766263625,True
19,1,2417,True
19,0,758032542,True
19,1,2334,True
19,1,3875,True
19,0,752613167,True
19,1,3334,True
19,1,1208,True
19,1,2209,True
19,1,1375,True
19,1,1083,True
19,1,3333,True
19,1,1084,True
19,1,917,True
19,1,1791,True
19,1,1958,True
19,1,3042,True
19,1,1125,True
19,1,916,True
19,1,3625,True
19,1,1125,True
19,1,4208,True
19,1,2958,True
19,1,1459,True
19,1,1250,True
19,1,3000,True
19,1,1125,True
19,1,2792,True
19,1,3500,True
19,1,3125,True
19,1,1042,True
19,1,1250,True
19,1,875,True
19,0,769999209,True
19,1,2375,True
19,1,2959,True
19,1,2833,True
19,1,3917,True
19,1,2917,True
19,1,2208,True
19,1,2375,True
19,1,2958,True
19,1,1375,True
19,1,3083,True
19,1,2833,True
19,1,3958,True
19,1,2292,True
19,1,2542,True
19,0,760551666,True
19,1,14667,True
19,1,1583,True
19,1,1958,True
19,1,1334,True
19,1,1041,True
19,1,792,True
19,1,792,True
19,1,1250,True
19,1,3250,True
19,1,2083,True
19,1,3458,True
19,1,1583,True
19,1,958,True
19,1,833,True
19,1,708,True
19,1,1833,True
19,1,2125,True
19,1,1083,True
19,1,959,True
19,1,792,True
19,1,791,True
19,1,1125,True
19,1,4000,True
19,1,2666,True
19,1,1708,True
19,1,1791,True
19,1,2000,True
19,1,1250,True
19,1,1167,True
19,1,1375,True
19,1,1833,True
19,1,1250,True
19,1,875,True
19,1,959,True
19,1,875,True
19,1,1166,True
19,1,1042,True
19,1,1084,True
19,1,916,True
19,1,833,True
19,1,1459,True
19,1,875,True
19,1,750,True
19,1,875,True
19,1,750,True
19,1,791,True
19,1,2250,True
19,1,1291,True
19,1,1000,True
19,1,792,True
19,1,875,True
19,1,875,True
19,1,875,True
19,1,792,True
19,1,750,True
19,1,750,True
19,1,750,True
19,1,833,True
19,1,1583,True
19,1,1000,True
19,1,916,True
19,1,1375,True
19,1,1250,True
19,1,1000,True
19,1,958,True
19,1,1167,True
19,1,917,True
19,1,875,True
19,1,1292,True
19,1,917,True
19,1,1000,True
19,1,2583,True
19,1,1834,True
19,1,1292,True
19,0,751871917,True
19,1,9834,True
19,0,754043917,True
19,0,761183292,True
19,1,2958,True
19,1,3625,True
19,1,2584,True
19,1,3042,True
19,1,1750,True
19,1,3792,True
19,1,1208,True
19,1,3125,True
19,1,2958,True
19,1,2583,True
19,1,2500,True
19,1,3875,True
19,1,1375,True
19,1,2167,True
19,1,1000,True
19,1,2917,True
19,1,1917,True
19,1,3584,True
19,1,2958,True
19,1,1000,True
19,1,2958,True
19,1,3500,True
19,1,1041,True
19,1,3125,True
